member_number,productId,items,order_date,orderId
4828,43,1,2015-08-08,14365
3683,15,3,2015-06-10,9996
1971,19,1,2015-09-18,3628
3014,31,3,2015-11-11,7502
3779,9,2,2015-09-15,10366
2489,2,3,2015-05-04,5538
3564,44,1,2015-06-27,9545
4092,26,1,2015-09-30,11485
3221,45,2,2015-01-13,8278
1279,1,3,2015-09-06,1010
2581,38,3,2015-08-22,5890
2295,5,2,2015-02-25,4832
4760,25,3,2015-02-22,14099
3649,25,3,2015-01-16,9860
1075,9,1,2015-11-19,271
3987,4,3,2015-08-19,11142
4106,2,3,2015-08-25,11543
4338,2,2,2015-06-24,12497
4166,7,2,2015-11-06,11792
1211,9,1,2015-03-10,766
3954,9,3,2015-01-21,11009
3928,16,3,2015-07-18,10925
3827,21,3,2015-09-30,10538
4699,46,1,2015-02-08,13870
4747,4,1,2015-06-08,14054
3028,19,2,2015-06-09,7552
2851,5,1,2015-03-16,6912
4417,40,3,2015-02-25,12783
3822,22,3,2015-03-07,10527
2288,27,1,2015-05-31,4796
2184,47,3,2015-06-30,4412
4554,2,3,2015-08-27,13289
3361,1,1,2015-03-05,8786
2999,8,1,2015-04-17,7447
2614,2,3,2015-06-25,6018
4064,9,3,2015-06-05,11374
3567,1,3,2015-10-04,9551
2587,25,2,2015-05-07,5913
3783,48,2,2015-06-17,10385
1923,49,2,2015-02-14,3439
4835,21,1,2015-02-19,14390
1514,2,2,2015-08-24,1894
3154,48,1,2015-06-22,8032
1313,4,1,2015-12-25,1140
2794,29,2,2015-07-18,6697
2359,4,2,2015-04-09,5066
2238,45,2,2015-03-09,4613
3795,50,3,2015-01-17,10430
3724,45,2,2015-11-26,10141
1152,2,3,2015-03-05,559
4559,2,1,2015-03-16,13308
3922,51,3,2015-02-27,10903
1709,19,2,2015-04-22,2587
2219,4,1,2015-04-17,4538
2206,29,1,2015-10-17,4492
1752,4,1,2015-04-06,2756
3942,4,3,2015-11-10,10974
3296,38,2,2015-08-17,8548
2257,37,1,2015-02-05,4685
4313,9,1,2015-07-28,12386
2001,5,1,2015-08-21,3730
2449,45,3,2015-07-08,5408
4914,9,3,2015-04-12,14660
2764,4,2,2015-07-24,6589
4187,52,3,2015-05-09,11865
1392,15,1,2015-04-20,1430
3427,45,2,2015-04-28,9004
1411,9,1,2015-02-20,1493
3390,38,1,2015-11-14,8877
4787,8,3,2015-08-01,14202
3310,25,2,2015-01-17,8607
1782,23,3,2015-10-10,2880
3375,9,3,2015-04-26,8830
2760,19,2,2015-01-07,6566
4249,25,1,2015-09-13,12116
2904,53,1,2015-06-06,7090
4090,45,2,2015-02-26,11475
3060,25,1,2015-07-05,7675
3768,2,2,2015-10-07,10328
1232,5,2,2015-01-21,839
1360,23,3,2015-10-23,1306
1107,7,2,2015-10-01,384
2865,6,3,2015-11-04,6963
2958,5,1,2015-06-14,7302
2448,11,1,2015-07-12,5401
1222,54,1,2015-09-24,804
2943,19,1,2015-06-20,7238
2270,2,3,2015-08-11,4729
3812,19,1,2015-07-21,10490
1482,49,2,2015-11-22,1763
4720,49,2,2015-02-22,13949
1344,17,2,2015-09-04,1253
2397,44,3,2015-10-04,5204
4182,55,1,2015-05-12,11846
4487,19,1,2015-07-10,13032
3467,44,1,2015-12-24,9147
2443,19,3,2015-11-15,5380
2749,28,2,2015-01-27,6522
4389,56,2,2015-04-13,12680
1674,19,1,2015-12-04,2473
4262,57,2,2015-10-16,12171
2082,9,2,2015-04-07,4050
4494,58,3,2015-01-06,13056
2460,25,3,2015-09-28,5443
4509,1,3,2015-11-29,13122
2267,57,3,2015-07-03,4720
4891,2,1,2015-09-05,14596
3962,19,3,2015-09-20,11050
4964,9,2,2015-07-18,14852
2914,57,1,2015-11-30,7131
2808,22,2,2015-05-05,6761
1085,22,2,2015-08-15,301
3808,2,2,2015-08-18,10472
4149,7,3,2015-01-07,11719
2331,7,3,2015-06-05,4953
4475,4,1,2015-04-03,12995
2761,7,1,2015-04-25,6576
2620,19,3,2015-12-14,6043
3206,9,2,2015-10-13,8224
1226,59,1,2015-04-13,818
1395,60,3,2015-03-07,1439
2465,30,3,2015-06-07,5457
3572,23,3,2015-07-09,9570
4387,2,2,2015-05-08,12670
1555,5,3,2015-03-27,2026
1181,19,3,2015-11-16,665
2814,58,3,2015-05-11,6786
2794,61,3,2015-09-16,6699
2912,3,1,2015-01-28,7125
4667,22,1,2015-01-12,13720
2235,38,3,2015-10-25,4603
2353,38,2,2015-05-02,5041
3449,19,1,2015-03-08,9070
1058,22,3,2015-11-10,218
1027,23,1,2015-05-17,106
3302,23,1,2015-05-22,8569
2229,14,2,2015-05-30,4570
2188,12,3,2015-08-15,4430
1547,62,3,2015-04-18,1998
1649,17,2,2015-06-30,2380
3254,9,2,2015-09-10,8398
2818,1,3,2015-11-07,6805
2703,25,3,2015-05-08,6347
3332,22,2,2015-01-31,8686
2473,57,1,2015-07-01,5487
2810,9,1,2015-12-30,6769
1033,1,2,2015-04-22,124
4222,1,1,2015-05-27,12013
3679,7,2,2015-09-21,9976
2212,21,1,2015-08-27,4514
1507,10,1,2015-06-22,1863
2870,10,3,2015-01-21,6984
3429,9,3,2015-04-26,9011
4148,25,1,2015-04-09,11716
2970,30,1,2015-12-30,7342
2013,13,3,2015-08-30,3770
3967,46,3,2015-05-30,11072
2885,7,3,2015-05-15,7041
3935,19,2,2015-07-02,10947
3283,2,1,2015-05-01,8496
3268,25,3,2015-11-06,8456
3677,7,1,2015-04-30,9967
3495,63,2,2015-06-27,9264
1410,7,2,2015-10-04,1490
2440,19,3,2015-06-06,5364
4088,10,2,2015-01-13,11467
2469,21,1,2015-09-23,5474
4229,19,3,2015-03-06,12044
2728,8,1,2015-08-02,6440
4694,7,1,2015-01-25,13842
2836,64,2,2015-12-29,6857
1311,65,2,2015-02-12,1132
1760,44,2,2015-01-23,2788
3656,8,2,2015-03-02,9881
3720,19,2,2015-05-28,10130
2996,9,3,2015-09-26,7438
1949,25,1,2015-07-22,3552
4498,50,1,2015-02-11,13071
2447,66,1,2015-12-28,5398
1952,1,1,2015-03-23,3561
4099,17,2,2015-01-27,11510
1804,8,1,2015-03-12,2974
1510,19,3,2015-05-16,1878
2879,67,3,2015-04-18,7017
4899,10,1,2015-03-12,14624
4326,23,1,2015-09-29,12447
1670,58,3,2015-05-17,2463
1117,57,3,2015-05-24,428
1346,4,2,2015-04-03,1258
1178,17,3,2015-11-15,658
1649,1,2,2015-06-25,2379
4651,68,2,2015-06-21,13651
4243,19,2,2015-04-02,12097
4429,40,2,2015-07-21,12816
4645,69,2,2015-07-25,13624
4019,5,1,2015-07-24,11242
4459,1,3,2015-04-26,12935
3006,10,2,2015-12-27,7469
1834,9,3,2015-09-17,3088
3236,26,3,2015-07-04,8328
1765,70,2,2015-03-11,2808
3855,1,1,2015-03-09,10650
4392,29,2,2015-11-28,12696
3330,21,1,2015-07-26,8682
1723,18,3,2015-09-02,2635
4110,38,1,2015-03-30,11563
2600,18,1,2015-01-28,5963
2946,38,1,2015-10-07,7251
2426,17,3,2015-09-08,5302
4170,19,3,2015-05-03,11806
1109,7,1,2015-04-06,393
3429,71,1,2015-01-04,9009
2055,44,2,2015-02-04,3938
2480,9,1,2015-09-20,5514
2441,19,2,2015-05-30,5370
1054,9,1,2015-10-04,205
4818,72,2,2015-01-11,14315
3379,73,3,2015-01-21,8838
3939,45,1,2015-02-10,10963
1367,4,1,2015-08-05,1339
1043,7,1,2015-01-10,158
2231,9,1,2015-10-17,4581
3235,22,2,2015-12-28,8324
4554,1,1,2015-07-16,13288
3245,8,3,2015-01-24,8348
2996,26,3,2015-05-19,7437
2507,25,1,2015-01-05,5593
4186,74,3,2015-10-25,11860
3929,22,1,2015-04-28,10928
3760,2,1,2015-11-22,10287
4928,8,3,2015-08-18,14705
4217,75,1,2015-12-18,11994
1174,5,3,2015-02-11,642
4103,2,2,2015-06-19,11526
4408,2,1,2015-03-13,12749
2588,7,2,2015-12-28,5916
2598,24,3,2015-11-11,5956
1518,9,2,2015-12-11,1909
2702,1,2,2015-04-08,6343
1001,9,3,2015-01-20,7
2270,26,2,2015-09-30,4730
2838,5,2,2015-11-10,6865
1683,22,3,2015-05-26,2503
4040,18,2,2015-04-03,11310
3897,4,3,2015-08-23,10797
2200,26,2,2015-03-11,4470
4073,26,3,2015-01-29,11406
3700,4,3,2015-04-19,10062
3973,5,2,2015-06-10,11093
2715,29,2,2015-07-06,6396
3967,2,2,2015-11-23,11073
4002,1,1,2015-09-03,11179
2962,17,1,2015-03-01,7320
4340,16,1,2015-12-25,12509
2092,44,3,2015-11-06,4090
3143,27,2,2015-05-24,7997
2209,50,3,2015-10-03,4502
2816,66,1,2015-08-22,6798
2659,21,2,2015-06-01,6178
1588,19,3,2015-10-13,2146
1144,59,2,2015-10-15,530
2166,19,3,2015-12-10,4350
3300,21,2,2015-10-06,8565
3944,66,1,2015-01-03,10976
4979,27,1,2015-04-24,14898
2630,71,2,2015-01-21,6076
4240,18,3,2015-04-29,12083
2357,38,1,2015-07-08,5058
1743,76,1,2015-04-18,2721
2331,19,1,2015-02-15,4952
1643,18,2,2015-04-28,2356
1291,69,2,2015-03-20,1062
3675,2,3,2015-07-04,9962
4134,57,3,2015-11-06,11665
1363,77,3,2015-06-21,1320
4212,4,2,2015-05-01,11966
1500,2,2,2015-03-21,1840
2622,4,3,2015-10-01,6048
3543,1,3,2015-03-18,9454
2525,78,2,2015-05-24,5681
1264,15,3,2015-10-12,951
3601,58,1,2015-07-06,9702
1771,9,2,2015-03-23,2833
4694,25,3,2015-02-06,13843
1122,17,2,2015-12-21,445
3507,4,1,2015-08-12,9314
4524,7,2,2015-04-26,13171
3612,19,2,2015-09-27,9737
3262,69,2,2015-06-11,8426
1897,23,2,2015-01-25,3339
1656,79,1,2015-10-30,2418
3953,23,2,2015-01-10,11007
1488,8,2,2015-06-21,1787
1652,4,3,2015-03-17,2395
4953,10,2,2015-09-16,14813
3445,38,3,2015-04-30,9063
3180,2,1,2015-03-15,8121
4934,5,1,2015-09-06,14733
2980,50,1,2015-04-27,7379
2763,22,1,2015-02-13,6584
4819,24,3,2015-03-04,14319
3169,26,2,2015-07-02,8085
1850,7,1,2015-03-11,3149
4285,2,2,2015-12-29,12260
4366,38,3,2015-08-13,12596
2253,17,3,2015-06-16,4668
3398,1,3,2015-03-11,8902
2215,80,1,2015-07-22,4524
3737,17,2,2015-03-03,10193
2649,14,2,2015-11-28,6144
3203,7,2,2015-08-07,8208
4261,17,3,2015-02-16,12164
2435,66,1,2015-07-17,5340
2046,51,3,2015-08-21,3903
4267,8,3,2015-02-11,12187
1086,5,2,2015-12-28,306
1992,8,3,2015-01-04,3686
3622,38,2,2015-07-26,9779
4700,27,1,2015-06-27,13878
2272,5,2,2015-05-16,4746
1663,23,1,2015-05-19,2447
2519,38,2,2015-06-03,5654
2639,19,3,2015-10-30,6106
1466,8,3,2015-04-19,1697
4122,2,1,2015-10-23,11612
3598,23,1,2015-04-15,9688
3097,26,1,2015-08-10,7814
1873,19,2,2015-09-19,3237
1537,17,2,2015-02-01,1970
3960,1,1,2015-03-25,11038
1136,37,3,2015-06-15,497
2453,18,2,2015-12-21,5423
1746,81,2,2015-02-15,2728
3572,53,2,2015-06-09,9569
3246,27,1,2015-06-24,8359
3207,50,1,2015-11-26,8228
1042,8,1,2015-02-12,153
1176,2,1,2015-03-30,652
3054,9,1,2015-02-23,7656
4486,9,3,2015-12-02,13026
1580,4,3,2015-12-05,2115
1623,9,1,2015-11-02,2291
4169,2,2,2015-11-24,11803
2254,9,1,2015-01-24,4674
4095,4,3,2015-11-01,11493
1264,17,3,2015-11-17,952
3375,23,2,2015-01-06,8829
3242,17,3,2015-05-23,8343
2227,4,1,2015-06-07,4561
3847,21,2,2015-12-03,10620
3897,21,1,2015-05-31,10796
1799,71,1,2015-09-27,2959
2920,2,2,2015-04-26,7153
3713,58,1,2015-01-31,10102
4230,24,3,2015-11-05,12049
1455,29,1,2015-03-18,1653
3687,9,2,2015-03-18,10014
3869,19,2,2015-08-01,10704
2988,50,2,2015-10-14,7403
4242,17,1,2015-03-30,12091
4118,57,2,2015-12-24,11593
4996,51,2,2015-10-24,14949
4489,4,1,2015-03-04,13038
1199,49,3,2015-11-09,726
4108,29,1,2015-05-12,11550
3484,15,2,2015-06-05,9216
1239,20,2,2015-08-31,875
4839,2,1,2015-12-19,14409
4748,5,3,2015-05-07,14059
4426,50,2,2015-06-06,12807
3571,82,2,2015-12-11,9568
2852,7,2,2015-06-08,6914
3638,23,1,2015-05-26,9821
3635,4,2,2015-03-10,9810
2723,56,3,2015-05-07,6425
3495,2,2,2015-03-11,9262
2813,3,2,2015-11-16,6782
2799,35,3,2015-09-02,6723
4723,1,2,2015-05-22,13965
3313,22,1,2015-04-08,8619
4748,38,1,2015-12-15,14060
2991,2,1,2015-02-16,7421
1483,1,3,2015-04-01,1768
3950,83,2,2015-10-01,10999
1634,20,1,2015-01-16,2329
2694,1,3,2015-11-21,6312
2707,69,2,2015-10-18,6368
2813,27,3,2015-07-16,6780
2276,38,1,2015-01-11,4764
4726,2,1,2015-02-06,13973
4353,50,1,2015-05-25,12548
4017,23,3,2015-08-13,11227
1422,4,3,2015-08-21,1536
2714,18,1,2015-03-15,6390
2769,43,3,2015-07-21,6605
4166,17,1,2015-04-30,11790
3614,7,1,2015-03-02,9745
4361,21,2,2015-09-05,12575
1922,13,3,2015-09-22,3434
4728,4,1,2015-09-06,13983
3646,38,1,2015-08-08,9851
1155,2,3,2015-08-10,572
2119,37,2,2015-06-11,4174
1602,7,2,2015-08-29,2195
1074,28,1,2015-06-24,266
2256,84,3,2015-04-11,4682
1348,38,2,2015-09-17,1265
3806,1,3,2015-08-28,10465
1711,38,3,2015-06-06,2596
3959,83,1,2015-04-12,11032
1590,27,2,2015-08-15,2151
1962,1,1,2015-06-08,3592
1766,23,2,2015-01-21,2810
2551,7,2,2015-10-21,5778
2294,9,2,2015-09-23,4830
4531,9,2,2015-05-29,13208
2957,9,2,2015-04-12,7295
4415,4,3,2015-01-27,12774
1476,18,1,2015-08-26,1735
3978,19,3,2015-07-23,11110
2062,2,2,2015-09-22,3966
3252,3,1,2015-06-28,8392
3922,2,2,2015-06-24,10905
1491,22,1,2015-10-17,1799
3526,66,3,2015-08-26,9395
4060,53,1,2015-12-11,11366
1067,21,1,2015-04-08,246
2840,68,1,2015-01-27,6870
4484,5,1,2015-11-27,13016
2353,25,1,2015-02-07,5040
3130,25,2,2015-02-18,7942
4273,4,1,2015-06-14,12217
4565,25,1,2015-12-30,13329
2504,45,3,2015-08-14,5583
4127,11,1,2015-10-23,11632
2690,4,3,2015-04-01,6291
4129,2,2,2015-09-22,11639
4511,8,1,2015-06-29,13132
1602,19,3,2015-08-04,2194
4369,38,3,2015-02-01,12608
1302,12,2,2015-09-29,1100
3326,5,1,2015-04-30,8665
2066,3,1,2015-05-21,3985
3483,75,3,2015-01-15,9206
2840,49,1,2015-02-12,6871
1807,21,3,2015-05-18,2982
2067,22,1,2015-08-12,3989
3783,25,3,2015-02-17,10383
2884,75,1,2015-01-04,7035
2908,25,2,2015-03-15,7108
1330,44,1,2015-07-10,1198
2293,5,1,2015-05-08,4819
3718,21,2,2015-05-20,10119
4338,3,1,2015-01-25,12495
3486,25,2,2015-11-08,9227
3635,40,1,2015-09-04,9813
2857,22,3,2015-02-18,6935
3684,7,3,2015-08-13,10004
3120,85,1,2015-10-20,7910
3872,9,1,2015-03-19,10715
2777,2,1,2015-04-07,6630
2702,23,3,2015-05-27,6344
4796,10,1,2015-06-29,14234
1564,19,3,2015-10-23,2049
2740,15,2,2015-07-02,6483
1833,74,3,2015-04-13,3084
1757,22,3,2015-12-23,2779
2975,5,2,2015-10-24,7361
4032,4,3,2015-08-10,11280
3979,7,1,2015-09-16,11112
3772,2,1,2015-03-09,10337
4523,9,3,2015-10-28,13168
4004,27,1,2015-04-19,11184
2936,29,3,2015-06-08,7208
2394,25,1,2015-06-21,5192
4616,25,1,2015-08-16,13518
2362,25,3,2015-07-08,5079
3593,3,1,2015-11-03,9669
4389,23,3,2015-08-27,12681
3206,86,1,2015-08-11,8223
4601,3,1,2015-01-04,13467
4382,8,2,2015-11-13,12655
2718,19,2,2015-06-08,6411
4691,87,3,2015-10-12,13827
3735,38,2,2015-11-28,10182
3900,1,3,2015-12-20,10811
4959,4,2,2015-06-30,14837
1815,8,1,2015-08-30,3013
2454,57,3,2015-04-08,5428
4778,57,3,2015-01-15,14154
2289,17,1,2015-11-04,4803
1734,5,3,2015-07-13,2682
4019,24,3,2015-02-05,11240
4605,23,2,2015-05-28,13477
4864,3,3,2015-11-14,14504
4205,8,1,2015-02-22,11940
1862,8,2,2015-08-03,3189
1846,5,2,2015-07-19,3132
2019,7,1,2015-05-28,3798
2042,57,1,2015-11-19,3885
1768,49,2,2015-05-26,2822
3847,8,3,2015-03-26,10619
3557,29,2,2015-07-20,9514
3975,21,1,2015-02-27,11100
4198,8,2,2015-03-18,11917
2580,8,1,2015-09-04,5884
3474,22,2,2015-08-25,9176
1678,7,3,2015-11-14,2486
4254,18,2,2015-08-14,12131
4704,1,2,2015-08-21,13886
3343,9,1,2015-05-10,8717
3812,8,1,2015-06-24,10489
3093,71,1,2015-03-13,7796
2170,25,2,2015-06-18,4365
4867,5,3,2015-10-29,14516
3899,4,1,2015-03-23,10804
2941,21,1,2015-10-03,7231
1958,21,2,2015-07-03,3575
2760,9,1,2015-08-08,6570
4413,50,3,2015-08-03,12766
1737,1,3,2015-05-15,2694
4202,38,1,2015-02-18,11932
1065,9,1,2015-11-13,241
3819,10,2,2015-06-28,10518
2854,27,3,2015-02-08,6920
4387,2,3,2015-09-16,12672
4530,70,1,2015-04-12,13203
4191,1,2,2015-11-03,11886
3102,57,3,2015-12-04,7836
1946,60,3,2015-01-25,3536
2156,44,2,2015-05-15,4308
1444,5,2,2015-12-16,1618
1699,7,3,2015-05-14,2558
4954,2,3,2015-05-04,14816
2207,9,2,2015-04-08,4496
4826,29,3,2015-01-28,14354
2374,9,1,2015-06-08,5119
1604,19,1,2015-08-18,2202
4437,69,2,2015-11-29,12856
2319,2,2,2015-05-10,4913
3018,5,2,2015-06-27,7515
1195,2,1,2015-09-28,711
1768,19,3,2015-09-04,2823
3017,45,1,2015-09-28,7512
3384,17,3,2015-11-29,8857
1918,8,1,2015-01-30,3414
2524,9,3,2015-10-17,5676
2798,10,1,2015-06-17,6715
2096,19,2,2015-01-25,4102
1489,23,1,2015-03-13,1792
1431,18,3,2015-07-20,1573
2747,2,1,2015-07-05,6518
3054,9,1,2015-03-22,7657
2691,8,1,2015-10-09,6299
1752,3,2,2015-04-19,2757
3027,19,1,2015-09-15,7546
4452,24,2,2015-06-17,12904
4129,10,2,2015-08-13,11638
3523,22,1,2015-11-09,9383
2128,2,1,2015-02-11,4198
4867,39,1,2015-02-03,14515
4762,5,3,2015-10-30,14110
1632,88,1,2015-05-29,2322
4018,18,2,2015-11-17,11236
1722,1,1,2015-07-13,2631
1438,1,3,2015-10-19,1595
3958,45,1,2015-10-27,11027
3292,8,3,2015-09-13,8531
2861,2,3,2015-02-23,6948
1757,23,1,2015-02-24,2777
1509,4,2,2015-12-30,1873
2364,5,3,2015-05-11,5086
3084,9,1,2015-10-26,7766
1850,18,1,2015-02-17,3148
1949,2,2,2015-03-17,3550
4740,17,3,2015-10-02,14016
1072,9,3,2015-10-23,258
4196,5,1,2015-07-09,11908
4814,2,1,2015-09-13,14306
1514,5,2,2015-02-28,1892
4584,10,2,2015-10-25,13401
2751,1,3,2015-02-03,6531
4155,19,3,2015-09-24,11747
4670,19,1,2015-10-11,13735
4566,9,3,2015-07-27,13334
2371,64,2,2015-08-30,5112
3442,5,2,2015-11-14,9055
3090,25,1,2015-09-27,7791
1457,18,2,2015-01-09,1665
4952,74,2,2015-04-08,14808
3165,5,2,2015-01-11,8066
2608,5,2,2015-09-19,5996
2040,49,1,2015-10-07,3872
1327,5,1,2015-08-09,1187
3363,5,3,2015-01-07,8792
1731,50,2,2015-09-09,2668
2760,7,3,2015-08-02,6569
3120,17,1,2015-01-14,7906
1332,24,1,2015-04-30,1207
4530,69,1,2015-09-12,13204
3145,8,1,2015-02-23,8004
1099,89,1,2015-08-13,356
3188,1,1,2015-12-06,8158
3748,13,1,2015-10-13,10237
4655,2,2,2015-03-31,13663
1827,57,3,2015-05-01,3061
2485,66,1,2015-02-17,5527
4683,9,2,2015-01-15,13791
4358,8,2,2015-11-06,12565
1931,8,3,2015-10-09,3475
2490,19,1,2015-12-18,5542
4842,10,3,2015-12-08,14422
4616,25,1,2015-01-01,13516
2810,19,2,2015-09-22,6768
2785,1,2,2015-10-18,6664
3591,9,2,2015-07-20,9653
3896,19,2,2015-09-10,10792
3842,8,3,2015-07-01,10597
2648,1,1,2015-07-10,6139
4688,18,1,2015-10-02,13817
3511,9,3,2015-08-26,9334
3084,50,1,2015-09-04,7765
3810,40,2,2015-05-07,10478
4348,49,1,2015-02-26,12531
3584,45,2,2015-03-10,9623
2620,58,3,2015-06-11,6042
2716,19,1,2015-01-18,6401
3797,4,3,2015-08-10,10435
2976,51,1,2015-06-02,7363
2762,90,2,2015-11-07,6579
3752,25,3,2015-04-25,10251
1659,27,1,2015-11-30,2433
4109,26,2,2015-02-08,11556
1542,23,3,2015-08-07,1985
2068,9,3,2015-06-07,3994
4509,23,1,2015-06-14,13119
4646,9,1,2015-06-14,13631
2122,91,1,2015-04-07,4188
2730,10,2,2015-06-15,6451
1800,92,1,2015-07-31,2963
1456,5,3,2015-09-18,1658
1138,2,3,2015-09-02,504
4104,23,1,2015-06-12,11532
4985,5,1,2015-02-28,14911
3181,40,3,2015-12-13,8131
3178,9,2,2015-10-21,8112
1688,48,1,2015-11-10,2520
1488,66,1,2015-11-28,1788
4975,1,3,2015-05-08,14889
4697,4,1,2015-01-09,13861
4742,29,2,2015-01-11,14024
2640,4,3,2015-04-22,6108
2548,45,1,2015-12-25,5761
2825,19,3,2015-12-29,6820
2592,25,1,2015-07-04,5934
3622,29,1,2015-12-28,9781
4852,13,1,2015-08-21,14456
1839,57,2,2015-09-03,3108
2413,2,2,2015-04-04,5261
2982,25,3,2015-06-14,7387
1981,10,1,2015-10-31,3654
4440,5,1,2015-09-21,12864
3497,82,2,2015-11-24,9274
3668,22,1,2015-12-18,9936
4460,24,2,2015-05-28,12938
1335,9,1,2015-01-16,1218
4303,10,3,2015-12-07,12349
3508,91,1,2015-02-28,9321
1959,7,1,2015-03-19,3578
3856,19,2,2015-03-06,10657
3141,22,1,2015-07-29,7988
4640,22,1,2015-09-25,13603
4851,50,2,2015-05-25,14447
3306,9,3,2015-09-22,8583
2193,22,3,2015-04-08,4447
1156,26,2,2015-09-13,574
4596,21,2,2015-04-08,13448
1245,1,2,2015-10-08,898
1515,9,2,2015-07-05,1896
2564,9,2,2015-07-14,5829
4527,38,3,2015-10-18,13196
2487,58,3,2015-07-09,5533
3420,8,2,2015-02-27,8981
4442,2,1,2015-11-28,12876
3164,23,2,2015-04-30,8063
3601,2,1,2015-04-01,9701
3176,50,2,2015-05-25,8106
2568,23,2,2015-07-22,5839
1856,22,3,2015-10-26,3172
3859,25,1,2015-09-30,10667
1668,7,1,2015-08-21,2461
4499,3,3,2015-08-23,13078
1753,22,3,2015-08-21,2764
3829,1,3,2015-06-25,10544
4825,8,3,2015-01-08,14345
3694,10,1,2015-11-10,10042
4147,7,1,2015-01-02,11709
2196,57,2,2015-10-09,4464
2229,60,2,2015-05-22,4569
