member_number,Recency,Frequency,Monetary
1246,166.75,4,57.4
1247,285.0,2,17.4
1248,87.125,8,166.66
1249,364.0,2,62.8
1250,448.0,1,1.3
1251,34.0,1,6.6
1252,163.0,3,104.9
1253,334.5,2,51.94
1254,333.5,2,115.0
1255,460.0,1,26.8
1256,112.2,5,99.65
1257,295.0,2,20.0
1258,302.5,2,50.9
1259,103.16666666666667,6,220.04
1260,269.5,2,48.74
1261,225.0,2,47.05
1262,268.0,2,46.6
1263,299.0,2,39.8
1264,64.0,6,145.03
1265,99.57142857142857,7,280.0
1266,490.0,1,10.8
1267,594.0,1,15.0
1268,174.75,4,57.8
1269,125.0,5,123.62
1270,178.66666666666666,3,67.06
1272,521.0,1,28.8
1273,166.5,2,24.6
1274,204.66666666666666,3,63.88
1275,71.1,10,152.56
1276,114.2,5,101.5
1277,140.8,5,108.21
1278,176.25,4,95.2
1279,114.16666666666667,6,112.91
1280,162.5,4,47.1
1281,173.33333333333334,3,91.91
1282,132.8,5,40.7
1283,98.42857142857143,7,145.2
1284,276.0,2,25.6
1285,144.2,5,107.41
1286,87.57142857142857,7,124.45
1287,108.0,5,180.92
1288,248.5,2,92.68
1289,150.0,4,125.9
1290,226.66666666666666,3,107.5
1291,129.0,4,55.01
1292,89.0,2,22.7
1293,125.25,4,93.47
1294,110.8,5,120.4
1295,219.0,3,62.35
1296,112.33333333333333,6,154.35
1297,174.5,4,108.15
1298,174.0,3,60.8
1299,225.0,3,23.1
1300,482.0,1,21.0
1301,233.0,3,54.0
1302,100.75,4,56.96
1303,91.8,5,82.0
1304,190.33333333333334,3,68.5
1305,174.0,3,114.31
1306,118.66666666666667,3,58.19
1307,97.6,5,66.7
1308,179.5,4,89.4
1309,123.8,5,88.36
1310,313.0,2,12.4
1311,238.33333333333334,3,79.5
1312,80.66666666666667,6,197.81
1313,5.0,1,17.3
1314,481.0,1,2.9
1315,128.0,3,82.01
1316,237.33333333333334,3,49.6
1317,196.66666666666666,3,32.54
1318,341.5,2,51.3
1319,118.0,3,63.8
1320,180.5,4,90.72
1321,268.5,2,14.6
1322,96.0,4,140.64
1323,186.66666666666666,3,40.9
1324,68.0,5,179.2
1325,213.66666666666666,3,80.3
1326,108.66666666666667,3,103.8
1327,82.75,8,136.92
1328,190.66666666666666,3,88.83
1329,140.0,5,146.6
1330,171.75,4,118.4
1331,158.25,4,61.76
1332,124.2,5,64.1
1333,92.0,6,145.5
1334,149.0,2,27.0
1335,181.5,4,94.45
1336,235.33333333333334,3,192.85
1337,255.5,2,70.5
1338,318.0,2,25.1
1339,145.2,5,78.5
1340,106.83333333333333,6,82.7
1341,154.5,4,139.4
1342,136.8,5,132.06
1343,172.75,4,124.22
1344,350.5,2,26.5
1345,210.33333333333334,3,78.36
1346,210.0,3,59.71
1347,131.5,4,124.4
1348,100.0,2,58.0
1349,95.5,4,77.52
1350,339.5,2,19.2
1351,357.0,2,63.11
1352,667.0,1,24.41
1353,92.16666666666667,6,235.4
1354,130.6,5,74.95
1355,128.2,5,92.71
1356,125.0,4,131.44
1357,88.0,3,24.3
1358,110.0,4,98.4
1359,580.0,1,46.41
1360,142.4,5,195.21
1361,69.0,7,100.9
1362,363.0,2,62.71
1363,105.4,5,96.6
1364,180.5,4,35.4
1365,116.16666666666667,6,62.5
1366,113.16666666666667,6,224.1
1367,349.0,2,70.9
1368,168.0,1,33.9
1369,230.0,3,23.6
1370,159.0,3,71.91
1371,166.66666666666666,3,90.3
1372,201.66666666666666,3,97.31
1373,203.66666666666666,3,153.4
1374,121.25,4,36.8
1375,80.0,1,7.2
1376,212.33333333333334,3,37.58
1377,128.0,3,92.9
1378,192.5,2,52.5
1379,61.0,11,217.85
1380,123.4,5,101.1
1381,145.6,5,104.75
1382,200.33333333333334,3,43.0
1383,215.33333333333334,3,41.01
1384,100.71428571428571,7,86.6
1385,134.2,5,164.7
1386,155.66666666666666,3,54.8
1387,319.5,2,47.46
1388,200.33333333333334,3,44.2
1389,203.33333333333334,3,36.31
1390,172.33333333333334,3,99.87
1391,116.5,6,97.4
1392,167.33333333333334,3,85.9
1393,184.33333333333334,3,44.15
1394,159.5,2,56.1
1395,73.625,8,174.64
1396,196.0,2,106.52
1397,9.0,1,11.8
1398,247.0,2,86.51
1399,173.0,4,80.1
1400,445.0,1,7.8
1401,168.5,2,13.6
1402,442.0,1,17.8
1403,179.5,4,68.4
1404,140.6,5,159.51
1405,297.5,2,45.2
1406,141.0,2,102.2
1407,88.83333333333333,6,261.55
1408,240.0,3,31.9
1409,105.33333333333333,3,37.06
1410,72.3,10,184.95
1411,312.0,2,70.32
1412,139.5,4,86.27
1413,178.0,3,63.8
1414,220.0,1,3.4
1415,362.0,2,10.8
1416,111.0,6,137.7
1417,103.2,5,70.1
1418,185.66666666666666,3,38.7
1419,131.6,5,165.5
1420,161.25,4,82.35
1421,121.75,4,50.12
1422,96.0,7,152.41
1423,336.0,2,49.46
1424,233.0,3,79.3
1425,173.0,4,44.32
1426,130.0,5,74.04
1427,115.66666666666667,6,92.4
1428,116.2,5,107.14
1429,218.5,2,31.1
1430,119.5,6,203.6
1431,110.75,4,48.3
1432,170.0,4,96.1
1433,464.0,1,50.6
1434,214.33333333333334,3,49.5
1435,138.4,5,175.55
1436,304.0,1,13.49
1437,327.5,2,20.05
1438,118.33333333333333,6,188.95
1439,139.0,1,16.3
1440,121.33333333333333,6,102.62
1442,111.66666666666667,6,88.1
1443,179.0,4,93.4
1444,110.5,6,163.32
1445,235.33333333333334,3,25.8
1446,214.66666666666666,3,63.26
1447,573.0,1,30.01
1448,271.5,2,39.1
1449,132.5,4,54.45
1450,115.66666666666667,6,109.4
1451,244.5,2,54.57
1452,96.33333333333333,6,191.05
1453,328.5,2,34.8
1454,175.25,4,110.71
1455,287.0,1,20.4
1456,97.16666666666667,6,168.74
1457,104.0,6,139.4
1458,145.33333333333334,3,46.9
1459,165.0,1,32.66
1460,200.66666666666666,3,163.7
1461,170.66666666666666,3,77.3
1462,355.5,2,19.7
1463,136.0,3,35.1
1464,149.0,2,21.8
1465,100.85714285714286,7,190.97
1466,77.22222222222223,9,213.4
1467,121.0,2,73.01
1468,115.5,6,105.24
1469,489.0,1,9.5
1470,567.0,1,29.71
1471,258.5,2,16.8
1472,113.83333333333333,6,112.6
1473,167.75,4,93.9
1474,125.8,5,84.8
1475,166.25,4,106.93
1476,118.83333333333333,6,111.85
1477,109.33333333333333,6,172.9
1478,158.0,4,71.2
1479,160.25,4,95.29
1480,115.66666666666667,6,114.44
1481,173.5,2,23.8
1482,77.0,6,115.28
1483,90.75,8,173.63
1484,103.0,3,143.6
1485,114.5,2,51.9
1486,65.83333333333333,6,115.9
1487,315.0,2,34.9
1488,174.75,4,96.8
1489,144.6,5,60.71
1490,219.0,2,45.5
1491,128.25,5,108.4
1492,121.4,5,98.0
1493,116.83333333333333,6,113.7
1494,114.16666666666667,6,175.74
1495,240.33333333333334,3,62.5
1496,613.0,1,16.8
1497,145.75,4,123.42
1498,123.5,4,56.1
1499,135.2,5,48.5
1500,106.33333333333333,6,127.52
1501,146.25,4,122.6
1502,129.0,2,49.3
1503,77.33333333333333,3,94.5
1504,143.4,5,151.71
1505,78.0,2,100.56
1506,216.5,2,76.0
1507,127.0,5,130.6
1508,153.5,4,35.9
1509,126.0,6,148.4
1510,88.85714285714286,7,174.51
1511,244.5,2,40.42
1512,152.5,4,59.21
1513,193.33333333333334,3,115.8
1514,134.4,5,63.54
1515,110.16666666666667,6,93.1
1516,339.0,2,70.72
1517,120.75,4,56.7
1518,64.0,3,66.46
1519,428.0,1,13.4
1520,203.0,3,81.5
1521,237.5,2,86.8
1522,103.14285714285714,7,216.2
1523,216.66666666666666,3,124.75
1524,173.0,4,59.11
1525,267.5,2,61.1
1526,136.0,5,84.49
1527,175.0,5,65.9
1528,174.25,4,85.51
1529,223.0,3,49.7
1530,240.5,2,40.9
1531,231.0,2,27.7
1532,222.5,2,93.3
1533,229.33333333333334,3,60.14
1534,136.5,4,153.32
1535,142.5,4,114.36
1536,172.66666666666666,3,60.41
1537,193.5,2,16.0
1538,188.66666666666666,3,45.56
1539,133.5,2,37.6
1540,99.5,4,130.9
1542,87.66666666666667,6,136.2
1544,163.0,4,74.17
1545,212.66666666666666,3,36.8
1546,212.33333333333334,3,51.8
1547,220.33333333333334,3,57.5
1548,225.33333333333334,3,45.1
1549,222.66666666666666,3,120.85
1550,201.33333333333334,3,67.95
1551,101.83333333333333,6,92.7
1552,720.0,1,80.1
1553,105.33333333333333,6,95.7
1554,139.6,5,183.51
1555,278.0,1,37.2
1556,578.0,1,20.9
1557,192.5,2,108.6
1558,268.0,1,15.4
1559,254.0,2,103.0
1560,593.0,1,1.9
1561,101.42857142857143,7,136.15
1562,172.66666666666666,3,66.9
1563,329.5,2,35.0
1564,106.5,4,83.01
1565,91.0,6,234.79
1566,78.33333333333333,9,145.77
1567,126.0,4,192.08
1568,360.0,2,48.9
1569,236.66666666666666,3,46.4
1570,145.0,2,41.0
1571,204.0,2,34.5
1572,91.28571428571429,7,182.1
1573,206.33333333333334,3,36.91
1574,71.4,10,205.7
1575,136.8,5,38.62
1577,289.0,1,32.1
1578,161.0,4,57.2
1579,563.0,1,11.5
1580,96.85714285714286,7,53.35
1581,227.0,3,83.7
1582,189.33333333333334,3,95.06
1583,114.83333333333333,6,164.05
1584,73.4,5,141.95
1585,154.75,4,38.31
1586,329.5,2,25.9
1587,118.8,5,101.62
1588,176.33333333333334,3,109.54
1589,359.0,2,46.0
1590,192.33333333333334,3,43.7
1591,178.5,4,103.2
1592,397.0,1,4.4
1593,226.0,3,32.6
1594,208.0,3,23.3
1595,100.42857142857143,7,176.9
1596,130.25,4,35.45
1597,171.25,4,58.2
1598,204.66666666666666,3,29.2
1599,99.2,5,79.45
1601,169.33333333333334,3,85.5
1602,93.57142857142857,7,148.0
1603,130.8,5,106.75
1604,173.75,4,48.0
1605,133.6,5,47.1
1606,179.25,4,128.0
1607,225.5,2,35.76
1608,119.16666666666667,6,170.12
1609,110.83333333333333,6,203.1
1610,186.0,2,25.7
1611,217.33333333333334,3,93.85
1612,74.66666666666667,6,102.3
1613,101.71428571428571,7,164.71
1614,165.0,2,85.42
1615,142.75,4,69.5
1616,106.33333333333333,6,132.0
1617,172.75,4,35.1
1618,90.85714285714286,7,192.72
1619,132.0,4,132.61
1620,134.2,5,160.11
1621,137.0,5,150.72
1622,148.0,4,72.97
1623,143.4,5,135.7
1624,166.33333333333334,3,151.0
1625,102.71428571428571,7,205.26
1626,315.0,1,4.1
1627,168.66666666666666,3,37.0
1628,114.66666666666667,6,118.4
1629,175.33333333333334,3,60.9
1630,217.0,2,16.5
1631,164.0,2,48.6
1632,113.66666666666667,6,117.04
1633,271.5,2,32.62
1634,114.66666666666667,6,107.3
1635,136.0,3,41.86
1636,98.16666666666667,6,119.6
1638,251.5,2,81.5
1639,165.33333333333334,3,114.81
1640,333.5,2,27.4
1641,137.8,5,94.7
1642,458.0,1,5.9
1643,313.5,2,12.0
1644,335.0,2,62.62
1645,351.5,2,34.2
1646,93.71428571428571,7,151.66
1647,225.33333333333334,3,82.88
1648,171.25,4,89.0
1649,74.14285714285714,7,178.71
1650,354.5,2,39.8
1651,99.14285714285714,7,220.36
1652,131.0,5,105.5
1653,102.66666666666667,6,201.0
1654,70.33333333333333,9,247.84
1655,179.25,4,109.1
1656,79.75,4,107.14
1657,222.0,3,38.9
1658,145.2,5,113.3
1659,104.0,7,145.51
1660,212.0,3,76.25
1661,118.0,6,115.17
1662,351.0,2,30.0
1663,168.5,4,100.11
1664,151.66666666666666,3,57.4
1665,165.66666666666666,3,30.0
1666,298.0,2,38.7
1667,352.0,1,41.6
1668,130.75,4,127.2
1669,133.0,1,52.74
1670,75.66666666666667,3,73.5
1672,234.33333333333334,3,39.6
1673,631.0,1,13.9
1674,142.75,4,115.56
1676,160.25,4,57.61
1677,135.4,5,219.01
1678,37.75,4,61.4
1679,124.5,4,53.2
1680,198.0,3,67.2
1681,309.5,2,20.1
1682,101.57142857142857,7,155.66
1683,109.0,2,29.2
1684,227.0,3,79.9
1685,143.75,4,26.7
1686,209.0,3,45.3
1687,134.8,5,85.3
1688,50.0,1,10.1
1689,233.5,2,54.8
1690,110.0,6,125.8
1692,100.83333333333333,6,121.65
1693,172.25,4,71.9
1694,260.5,2,37.81
1695,329.0,1,20.6
1696,93.5,6,81.96
1697,117.83333333333333,6,78.67
1698,237.33333333333334,3,55.04
1699,176.0,4,98.4
1700,210.0,2,18.64
1701,227.0,1,37.9
1702,143.4,5,75.9
1703,171.66666666666666,3,125.6
1705,151.0,4,50.85
1706,159.25,4,155.0
1707,186.5,2,24.5
1708,134.75,4,159.4
1709,247.5,2,34.4
1710,220.66666666666666,3,100.0
1711,75.0,8,163.66
1712,313.5,2,79.1
1714,353.5,2,44.4
1715,112.16666666666667,6,284.89
1716,192.66666666666666,3,101.2
1717,211.0,3,55.3
1718,130.66666666666666,3,62.95
1719,122.8,5,85.84
1720,236.5,2,39.04
1721,331.5,2,11.8
1722,89.33333333333333,6,69.26
1723,131.75,4,87.35
1724,169.0,4,107.0
1725,165.33333333333334,3,82.36
1726,131.2,5,132.1
1727,253.0,2,32.4
1728,185.33333333333334,3,41.1
1729,108.33333333333333,6,174.7
1730,124.5,4,43.0
1731,81.83333333333333,6,97.2
1732,212.0,3,50.0
1733,167.75,4,133.6
1734,83.33333333333333,6,181.0
1735,308.5,2,104.0
1736,131.8,5,83.0
1737,81.5,6,156.97
1738,133.25,4,40.85
1739,237.5,2,55.9
1740,96.71428571428571,7,125.81
1741,89.33333333333333,6,117.6
1742,109.0,4,111.7
1743,178.0,4,86.6
1744,93.0,2,7.65
1745,648.0,1,14.4
1746,129.8,5,49.5
1747,144.4,5,67.2
1748,131.6,5,85.8
1749,159.0,3,87.34
1750,116.2,5,112.96
1751,170.75,4,58.9
1752,125.2,5,48.6
1753,96.0,7,124.5
1754,123.8,5,108.8
1755,355.0,2,16.9
1756,143.75,4,72.6
1757,160.0,4,108.0
1758,155.0,3,127.84
1759,173.33333333333334,3,127.8
1760,173.33333333333334,3,50.8
1761,96.0,7,228.23
1762,171.5,2,11.0
1763,36.0,3,57.45
1764,145.2,5,58.6
1765,188.66666666666666,3,112.8
1766,312.0,2,79.75
1767,96.0,6,102.36
1768,75.14285714285714,7,125.01
1769,532.0,2,26.8
1770,123.2,5,45.52
1771,151.0,3,34.0
1772,173.5,4,57.5
1773,107.0,4,71.1
1774,114.0,5,62.65
1775,80.0,1,41.4
1776,101.83333333333333,6,109.3
1777,91.0,7,185.91
1778,133.0,3,85.31
1779,238.66666666666666,3,101.1
1780,89.8,5,119.05
1781,235.0,3,65.47
1782,104.83333333333333,6,164.21
1783,114.0,6,126.25
1784,160.33333333333334,3,66.7
1785,96.42857142857143,7,196.3
1786,205.33333333333334,3,24.3
1787,180.66666666666666,3,232.7
1788,77.0,7,105.55
1789,145.6,5,100.4
1790,164.0,2,22.7
1791,232.0,3,59.4
1792,180.66666666666666,3,182.85
1793,49.2,10,345.1
1794,312.5,2,26.3
1795,294.5,2,65.75
1796,108.0,6,86.4
1797,142.2,5,92.09
1798,89.0,8,135.2
1799,94.75,4,46.83
1800,121.75,4,81.4
1801,99.2,5,47.3
1803,158.25,4,53.9
1804,112.66666666666667,3,81.9
1805,202.33333333333334,3,42.3
1806,279.0,2,109.22
1807,165.66666666666666,3,85.7
1808,99.0,4,109.81
1809,363.5,2,38.4
1810,152.25,4,107.2
1811,98.71428571428571,7,145.31
1812,77.0,1,49.8
1813,394.0,1,50.9
1814,116.16666666666667,6,97.4
1815,110.2,5,67.3
1816,180.0,4,88.11
1817,140.2,5,133.2
1818,156.75,4,48.6
1819,74.6,5,206.91
1820,143.6,5,85.4
1821,238.66666666666666,3,140.2
1822,176.25,4,68.91
1823,207.66666666666666,3,120.9
1824,160.5,4,70.4
1825,180.5,4,104.9
1826,376.0,1,11.7
1827,53.888888888888886,9,158.6
1828,241.0,3,38.25
1829,168.0,4,74.2
1830,285.5,2,36.5
1831,173.0,3,67.15
1832,82.66666666666667,6,154.76
1833,109.0,4,80.81
1834,124.66666666666667,3,72.16
1835,135.0,4,106.65
1836,208.66666666666666,3,95.0
1837,167.75,4,87.75
1838,141.0,4,91.91
1839,130.0,5,142.2
1840,224.5,2,40.91
1841,189.5,2,28.6
1842,193.0,3,45.8
1843,115.5,4,56.65
1844,104.83333333333333,6,109.72
1845,107.33333333333333,3,20.0
1846,45.2,5,62.5
1847,179.75,4,60.05
1848,116.5,4,47.25
1849,213.33333333333334,3,61.42
1850,164.5,4,99.21
1851,171.5,4,82.0
1852,181.25,4,56.33
1853,161.25,4,126.1
1854,219.66666666666666,3,38.7
1855,133.0,4,160.65
1856,175.0,4,95.9
1857,71.0,2,80.7
1858,169.5,2,38.7
1859,143.0,5,161.41
1860,349.0,2,14.7
1861,112.5,2,32.9
1862,117.6,5,225.65
1863,144.25,4,110.61
1864,181.5,4,61.6
1865,113.5,6,146.6
1866,98.42857142857143,7,244.5
1867,169.0,4,67.7
1868,224.33333333333334,3,68.5
1869,179.5,4,51.01
1870,87.125,8,257.54
1871,381.0,1,21.91
1872,111.66666666666667,3,47.71
1873,106.33333333333333,3,45.3
1874,80.75,4,35.9
1875,111.0,2,69.9
1876,197.0,1,25.31
1877,140.5,4,43.22
1878,80.77777777777777,9,127.61
1879,144.25,4,34.4
1880,234.5,2,18.8
1881,136.6,5,51.05
1882,164.66666666666666,3,97.4
1883,127.6,5,66.7
1884,73.5,2,105.05
1885,164.75,4,78.5
1886,236.5,2,22.56
1887,99.28571428571429,7,185.8
1888,100.0,6,183.1
1889,69.75,8,240.15
1890,156.75,4,197.2
1891,362.0,2,22.8
1892,87.83333333333333,6,109.12
1893,131.5,4,92.3
1894,124.5,4,141.2
1895,117.66666666666667,6,118.38
1896,171.25,4,111.3
1897,152.0,4,47.4
1898,414.0,1,12.8
1899,138.2,5,93.64
1900,170.25,4,74.44
1901,84.33333333333333,3,99.21
1902,127.0,3,59.22
1903,170.25,4,62.46
1904,215.33333333333334,3,61.2
1905,77.55555555555556,9,253.51
1907,309.5,2,51.2
1908,70.6,10,180.64
1909,177.0,2,44.8
1910,134.4,5,85.61
1911,330.0,2,74.68
1912,217.0,3,55.1
1913,134.6,5,195.7
1914,132.33333333333334,3,36.56
1915,318.0,2,13.0
1916,196.0,3,34.65
1917,140.6,5,137.0
1918,167.0,2,70.41
1919,194.5,2,39.6
1920,162.0,2,30.0
1921,91.85714285714286,7,193.0
1922,80.88888888888889,9,98.9
1923,116.0,6,93.16
1924,113.33333333333333,6,72.99
1925,575.0,1,10.7
1926,174.33333333333334,3,65.0
1927,279.0,2,38.6
1928,195.33333333333334,3,99.8
1929,99.28571428571429,7,126.9
1930,96.83333333333333,6,115.31
1931,111.0,6,157.7
1932,64.0,9,179.82
1933,435.0,1,16.21
1934,112.8,5,185.82
1935,153.75,4,49.6
1936,112.0,2,42.2
1937,132.6,5,67.8
1938,164.25,4,72.01
1939,139.2,5,137.53
1940,137.8,5,204.15
1941,350.0,2,36.6
1942,263.0,2,39.0
1943,94.0,5,140.87
1944,253.5,2,21.7
1945,84.0,5,115.9
1946,110.33333333333333,6,110.5
1947,240.66666666666666,3,112.0
1948,120.83333333333333,6,135.15
1949,104.33333333333333,6,219.81
1950,95.4,5,43.35
1951,185.0,3,108.1
1952,141.0,2,85.31
1953,296.0,1,57.2
1954,188.33333333333334,3,114.62
1955,143.75,4,76.12
1956,716.0,1,11.3
1957,325.0,2,20.8
1958,281.0,2,101.5
1959,92.42857142857143,7,160.61
1960,355.0,1,25.2
1961,119.33333333333333,6,54.91
1962,188.0,3,70.81
1964,163.0,4,53.17
1965,363.5,2,44.2
1966,97.71428571428571,7,91.24
1967,74.83333333333333,6,93.95
1968,88.5,4,101.01
1969,144.8,5,76.76
1970,175.0,4,100.7
1971,193.66666666666666,3,120.55
1972,303.5,2,25.9
1973,67.0,1,114.9
1974,241.0,1,76.6
1975,360.0,2,23.3
1976,77.0,1,6.7
1977,352.0,1,41.9
1978,225.33333333333334,3,105.9
1979,78.375,8,193.7
1980,119.0,5,49.83
1981,212.0,2,54.7
1982,148.0,3,89.2
1983,84.28571428571429,7,199.6
1985,197.0,3,39.75
1987,142.33333333333334,3,76.0
1988,320.0,2,56.9
1989,112.0,1,7.6
1990,221.0,3,42.2
1991,73.11111111111111,9,201.21
1992,120.0,3,103.8
1993,148.0,3,81.91
1994,175.66666666666666,3,86.7
1995,112.8,5,61.82
1996,174.0,4,51.75
1997,71.0,6,150.12
1998,77.22222222222223,9,168.05
1999,159.25,4,159.25
2000,272.0,2,82.4
2001,99.0,7,267.32
2002,71.0,1,47.3
2003,197.5,2,44.7
2004,120.0,5,118.81
2005,109.5,4,83.99
2006,215.0,2,32.0
2007,62.0,2,51.85
2008,217.66666666666666,3,11.65
2009,191.66666666666666,3,49.4
2010,180.75,4,55.34
2011,88.625,8,86.86
2012,256.5,2,13.2
2013,123.0,3,32.45
2014,77.25,8,84.5
2015,256.5,2,22.6
