member_number,Recency,Frequency,Monetary,R,F,M,RFM_Level
1069,177.25,4,90.46,2,2,3,REGULARS
1070,314.5,2,66.4,1,1,2,REGULARS
1071,460.0,1,17.1,1,1,1,NEW
1072,277.5,2,50.7,1,1,2,REGULARS
1073,162.25,4,109.8,2,2,3,REGULARS
1074,140.0,5,71.96,3,3,2,REGULARS
1075,139.75,4,80.3,3,2,3,REGULARS
1076,92.75,4,87.9,4,2,3,ACTIVE
1077,88.5,6,50.9,4,4,2,ACTIVE
1078,244.5,2,50.0,1,1,2,REGULARS
1079,224.5,2,89.1,1,1,3,REGULARS
1080,211.5,2,17.8,2,1,1,REGULARS
1081,137.4,5,138.62,3,3,4,REGULARS
1082,325.0,2,65.8,1,1,2,REGULARS
1083,177.66666666666666,3,102.7,2,2,3,REGULARS
1084,621.0,1,7.6,1,1,1,NEW
1085,205.0,3,31.74,2,2,1,REGULARS
1086,104.2,5,94.4,4,3,3,ACTIVE
1087,74.66666666666667,9,193.82,4,4,4,ACTIVE
1088,116.66666666666669,3,58.76,3,2,2,REGULARS
1089,390.0,1,9.3,1,1,1,NEW
1090,40.333333333333336,3,219.2,4,2,4,ACTIVE
1092,77.0,5,104.31,4,3,3,ACTIVE
1093,277.0,1,3.65,1,1,1,NEW
1094,82.375,8,149.81,4,4,4,ACTIVE
1095,215.0,3,57.76,2,2,2,REGULARS
1096,155.0,1,15.3,2,1,1,REGULARS
1097,103.83333333333331,6,106.49,4,4,3,ACTIVE
1098,96.14285714285714,7,267.63,4,4,4,ACTIVE
1099,176.66666666666666,3,39.7,2,2,1,REGULARS
1100,226.0,3,88.3,1,2,3,REGULARS
1101,159.66666666666666,3,52.0,2,2,2,REGULARS
1102,171.0,4,73.7,2,2,2,REGULARS
1103,146.0,4,87.1,3,2,3,REGULARS
1104,150.0,4,40.25,3,2,1,REGULARS
1105,282.0,2,34.81,1,1,1,NEW
1107,74.25,8,129.38,4,4,4,ACTIVE
1108,146.75,4,94.06,3,2,3,REGULARS
1109,111.8,5,93.9,4,3,3,ACTIVE
1110,82.71428571428571,7,155.9,4,4,4,ACTIVE
1111,166.75,4,53.3,2,2,2,REGULARS
1112,265.0,1,26.36,1,1,1,NEW
1113,180.5,4,74.65,2,2,2,REGULARS
1114,102.33333333333331,6,121.12,4,4,4,ACTIVE
1115,129.25,4,68.5,3,2,2,REGULARS
1116,83.0,8,157.4,4,4,4,ACTIVE
1117,220.0,1,34.6,1,1,1,NEW
1118,111.33333333333331,6,173.4,4,4,4,ACTIVE
1119,329.0,1,22.4,1,1,1,NEW
1120,82.66666666666667,6,144.4,4,4,4,ACTIVE
1121,655.0,1,30.62,1,1,1,NEW
1122,153.66666666666666,3,33.0,2,2,1,REGULARS
1123,127.0,4,73.6,3,2,2,REGULARS
1124,332.5,2,15.9,1,1,1,NEW
1125,115.8,5,67.56,3,3,2,REGULARS
1126,141.0,3,124.2,3,2,4,REGULARS
1127,173.0,4,85.16,2,2,3,REGULARS
1128,160.75,4,67.25,2,2,2,REGULARS
1129,140.8,5,179.64,3,3,4,REGULARS
1130,124.75,4,94.96,3,2,3,REGULARS
1132,134.33333333333334,3,25.44,3,2,1,REGULARS
1133,129.8,5,148.94,3,3,4,REGULARS
1134,226.66666666666663,3,48.4,1,2,2,REGULARS
1135,103.0,3,43.37,4,2,1,ACTIVE
1136,67.44444444444444,9,209.08,4,4,4,ACTIVE
1137,296.5,2,17.6,1,1,1,NEW
1138,180.33333333333331,3,53.3,2,2,2,REGULARS
1139,178.5,4,72.81,2,2,2,REGULARS
1140,121.5,2,66.7,3,1,2,REGULARS
1141,157.75,4,80.8,2,2,3,REGULARS
1142,146.75,4,81.0,3,2,3,REGULARS
1143,106.8,5,54.5,4,3,2,ACTIVE
1144,90.14285714285714,7,133.25,4,4,4,ACTIVE
1145,191.0,3,34.61,2,2,1,REGULARS
1146,99.85714285714286,7,157.52,4,4,4,ACTIVE
1147,222.0,3,49.2,1,2,2,REGULARS
1148,116.33333333333331,6,118.76,3,4,4,REGULARS
1149,73.0,2,34.6,4,1,1,REGULARS
1150,122.0,4,54.4,3,2,2,REGULARS
1151,191.5,2,68.8,2,1,2,REGULARS
1152,92.25,4,83.05,4,2,3,ACTIVE
1153,107.0,6,101.5,4,4,3,ACTIVE
1154,198.0,3,35.2,2,2,1,REGULARS
1155,91.0,3,89.3,4,2,3,ACTIVE
1156,108.0,1,24.0,4,1,1,REGULARS
1157,324.5,2,136.91,1,1,4,REGULARS
1158,169.75,4,49.1,2,2,2,REGULARS
1159,233.66666666666663,3,25.45,1,2,1,REGULARS
1160,115.66666666666669,6,118.51,3,4,4,REGULARS
1161,351.5,2,78.3,1,1,3,REGULARS
1162,142.2,5,113.5,3,3,3,REGULARS
1163,219.66666666666663,3,54.1,1,2,2,REGULARS
1164,166.0,2,31.1,2,1,1,REGULARS
1165,159.5,4,136.2,2,2,4,REGULARS
1166,340.5,2,29.11,1,1,1,NEW
1167,212.0,2,23.5,2,1,1,REGULARS
1168,141.66666666666666,3,86.6,3,2,3,REGULARS
1169,80.55555555555556,9,284.8,4,4,4,ACTIVE
1170,83.85714285714286,7,184.44,4,4,4,ACTIVE
1171,133.8,5,75.3,3,3,3,REGULARS
1173,155.25,4,36.5,2,2,1,REGULARS
1174,104.4,5,59.9,4,3,2,ACTIVE
1175,145.4,5,222.36,3,3,4,REGULARS
1176,100.0,6,96.66,4,4,3,ACTIVE
1177,77.0,1,10.45,4,1,1,REGULARS
1178,140.75,4,114.25,3,2,3,REGULARS
1179,285.0,2,112.6,1,1,3,REGULARS
1180,348.0,2,9.9,1,1,1,NEW
1181,178.33333333333334,3,38.2,2,2,1,REGULARS
1182,93.0,6,199.82,4,4,4,ACTIVE
1183,120.0,3,97.6,3,2,3,REGULARS
1184,277.0,2,43.5,1,1,1,NEW
1185,125.75,4,108.9,3,2,3,REGULARS
1186,172.25,4,51.83,2,2,2,REGULARS
1187,190.0,3,14.77,2,2,1,REGULARS
1188,181.33333333333331,3,69.7,2,2,2,REGULARS
1189,337.5,2,30.56,1,1,1,NEW
1190,76.875,8,161.1,4,4,4,ACTIVE
1191,330.0,2,100.6,1,1,3,REGULARS
1192,184.0,2,28.4,2,1,1,REGULARS
1193,341.0,2,22.56,1,1,1,NEW
1194,237.66666666666663,3,73.2,1,2,2,REGULARS
1195,167.66666666666666,3,64.06,2,2,2,REGULARS
1196,236.33333333333331,3,34.42,1,2,1,REGULARS
1197,108.5,6,153.6,4,4,4,ACTIVE
1198,216.0,3,167.9,2,2,4,REGULARS
1199,161.75,4,57.5,2,2,2,REGULARS
1200,223.66666666666663,3,26.05,1,2,1,REGULARS
1201,216.0,2,34.8,2,1,1,REGULARS
1202,154.5,4,61.6,2,2,2,REGULARS
1204,102.42857142857144,7,142.1,4,4,4,ACTIVE
1205,203.0,3,69.1,2,2,2,REGULARS
1206,231.66666666666663,3,96.61,1,2,3,REGULARS
1207,203.66666666666663,3,62.06,2,2,2,REGULARS
1208,102.8,5,171.47,4,3,4,ACTIVE
1209,166.25,4,121.29,2,2,4,REGULARS
1211,69.33333333333333,6,107.76,4,4,3,ACTIVE
1212,146.0,4,68.41,3,2,2,REGULARS
1213,108.66666666666669,3,123.7,4,2,4,ACTIVE
1214,270.0,2,58.9,1,1,2,REGULARS
1215,203.66666666666663,3,76.71,2,2,3,REGULARS
1216,172.75,4,183.21,2,2,4,REGULARS
1217,175.66666666666666,3,68.6,2,2,2,REGULARS
1218,85.85714285714286,7,198.72,4,4,4,ACTIVE
1219,272.5,2,32.6,1,1,1,NEW
1220,81.8,5,186.05,4,3,4,ACTIVE
1221,410.0,1,1.7,1,1,1,NEW
1222,72.5,2,16.8,4,1,1,REGULARS
1223,120.25,4,61.6,3,2,2,REGULARS
1224,243.0,2,83.3,1,1,3,REGULARS
1225,95.28571428571428,7,130.6,4,4,4,ACTIVE
1226,130.5,2,84.55,3,1,3,REGULARS
1227,601.0,1,7.7,1,1,1,NEW
1228,310.0,1,16.6,1,1,1,NEW
1229,174.0,3,146.4,2,2,4,REGULARS
1230,109.0,6,67.65,4,4,2,ACTIVE
1231,65.28571428571429,7,156.0,4,4,4,ACTIVE
1232,169.66666666666666,3,33.0,2,2,1,REGULARS
1233,105.33333333333331,6,98.36,4,4,3,ACTIVE
1234,163.5,4,74.44,2,2,2,REGULARS
1235,72.875,8,156.98,4,4,4,ACTIVE
1236,275.5,2,40.6,1,1,1,NEW
1237,100.57142857142856,7,160.81,4,4,4,ACTIVE
1238,304.0,1,27.0,1,1,1,NEW
1239,88.71428571428571,7,139.01,4,4,4,ACTIVE
1240,177.66666666666666,3,61.14,2,2,2,REGULARS
1241,181.5,4,156.22,2,2,4,REGULARS
1242,63.16666666666666,6,125.11,4,4,4,ACTIVE
1243,721.0,1,6.0,1,1,1,NEW
1244,159.66666666666666,3,39.02,2,2,1,REGULARS
1245,76.57142857142857,7,168.52,4,4,4,ACTIVE
1246,166.75,4,57.4,2,2,2,REGULARS
1247,285.0,2,17.4,1,1,1,NEW
1248,87.125,8,166.66,4,4,4,ACTIVE
1249,364.0,2,62.8,1,1,2,REGULARS
1250,448.0,1,1.3,1,1,1,NEW
1251,34.0,1,6.6,4,1,1,REGULARS
1252,163.0,3,104.9,2,2,3,REGULARS
1253,334.5,2,51.94,1,1,2,REGULARS
1254,333.5,2,115.0,1,1,3,REGULARS
1255,460.0,1,26.8,1,1,1,NEW
1256,112.2,5,99.65,4,3,3,ACTIVE
1257,295.0,2,20.0,1,1,1,NEW
1258,302.5,2,50.9,1,1,2,REGULARS
1259,103.16666666666669,6,220.04,4,4,4,ACTIVE
1260,269.5,2,48.74,1,1,2,REGULARS
1261,225.0,2,47.05,1,1,2,REGULARS
1262,268.0,2,46.6,1,1,2,REGULARS
1263,299.0,2,39.8,1,1,1,NEW
1264,64.0,6,145.03,4,4,4,ACTIVE
1265,99.57142857142856,7,280.0,4,4,4,ACTIVE
1266,490.0,1,10.8,1,1,1,NEW
1267,594.0,1,15.0,1,1,1,NEW
1268,174.75,4,57.8,2,2,2,REGULARS
1269,125.0,5,123.62,3,3,4,REGULARS
1270,178.66666666666666,3,67.06,2,2,2,REGULARS
1272,521.0,1,28.8,1,1,1,NEW
1273,166.5,2,24.6,2,1,1,REGULARS
1274,204.66666666666663,3,63.88,2,2,2,REGULARS
1275,71.1,10,152.56,4,4,4,ACTIVE
1276,114.2,5,101.5,3,3,3,REGULARS
1277,140.8,5,108.21,3,3,3,REGULARS
1278,176.25,4,95.2,2,2,3,REGULARS
1279,114.16666666666669,6,112.91,3,4,3,REGULARS
1280,162.5,4,47.1,2,2,2,REGULARS
1281,173.33333333333334,3,91.91,2,2,3,REGULARS
1282,132.8,5,40.7,3,3,1,REGULARS
1283,98.42857142857144,7,145.2,4,4,4,ACTIVE
1284,276.0,2,25.6,1,1,1,NEW
1285,144.2,5,107.41,3,3,3,REGULARS
1286,87.57142857142857,7,124.45,4,4,4,ACTIVE
1287,108.0,5,180.92,4,3,4,ACTIVE
1288,248.5,2,92.68,1,1,3,REGULARS
1289,150.0,4,125.9,3,2,4,REGULARS
1290,226.66666666666663,3,107.5,1,2,3,REGULARS
1291,129.0,4,55.01,3,2,2,REGULARS
1292,89.0,2,22.7,4,1,1,REGULARS
1293,125.25,4,93.47,3,2,3,REGULARS
1294,110.8,5,120.4,4,3,4,ACTIVE
1295,219.0,3,62.35,1,2,2,REGULARS
1296,112.33333333333331,6,154.35,4,4,4,ACTIVE
1297,174.5,4,108.15,2,2,3,REGULARS
1298,174.0,3,60.8,2,2,2,REGULARS
1299,225.0,3,23.1,1,2,1,REGULARS
1300,482.0,1,21.0,1,1,1,NEW
1301,233.0,3,54.0,1,2,2,REGULARS
1302,100.75,4,56.96,4,2,2,ACTIVE
1303,91.8,5,82.0,4,3,3,ACTIVE
1304,190.33333333333331,3,68.5,2,2,2,REGULARS
1305,174.0,3,114.31,2,2,3,REGULARS
1306,118.66666666666669,3,58.19,3,2,2,REGULARS
1307,97.6,5,66.7,4,3,2,ACTIVE
1308,179.5,4,89.4,2,2,3,REGULARS
1309,123.8,5,88.36,3,3,3,REGULARS
1310,313.0,2,12.4,1,1,1,NEW
1311,238.33333333333331,3,79.5,1,2,3,REGULARS
1312,80.66666666666667,6,197.81,4,4,4,ACTIVE
1313,5.0,1,17.3,4,1,1,REGULARS
1314,481.0,1,2.9,1,1,1,NEW
1315,128.0,3,82.01,3,2,3,REGULARS
1316,237.33333333333331,3,49.6,1,2,2,REGULARS
1317,196.66666666666663,3,32.54,2,2,1,REGULARS
1318,341.5,2,51.3,1,1,2,REGULARS
1319,118.0,3,63.8,3,2,2,REGULARS
1320,180.5,4,90.72,2,2,3,REGULARS
1321,268.5,2,14.6,1,1,1,NEW
1322,96.0,4,140.64,4,2,4,ACTIVE
1323,186.66666666666663,3,40.9,2,2,1,REGULARS
1324,68.0,5,179.2,4,3,4,ACTIVE
1325,213.66666666666663,3,80.3,2,2,3,REGULARS
1326,108.66666666666669,3,103.8,4,2,3,ACTIVE
1327,82.75,8,136.92,4,4,4,ACTIVE
1328,190.66666666666663,3,88.83,2,2,3,REGULARS
1329,140.0,5,146.6,3,3,4,REGULARS
1330,171.75,4,118.4,2,2,4,REGULARS
1331,158.25,4,61.76,2,2,2,REGULARS
1332,124.2,5,64.1,3,3,2,REGULARS
1333,92.0,6,145.5,4,4,4,ACTIVE
1334,149.0,2,27.0,3,1,1,REGULARS
1335,181.5,4,94.45,2,2,3,REGULARS
1336,235.33333333333331,3,192.85,1,2,4,REGULARS
1337,255.5,2,70.5,1,1,2,REGULARS
1338,318.0,2,25.1,1,1,1,NEW
1339,145.2,5,78.5,3,3,3,REGULARS
1340,106.83333333333331,6,82.7,4,4,3,ACTIVE
1341,154.5,4,139.4,2,2,4,REGULARS
1342,136.8,5,132.06,3,3,4,REGULARS
1343,172.75,4,124.22,2,2,4,REGULARS
1344,350.5,2,26.5,1,1,1,NEW
1345,210.33333333333331,3,78.36,2,2,3,REGULARS
1346,210.0,3,59.71,2,2,2,REGULARS
1347,131.5,4,124.4,3,2,4,REGULARS
1348,100.0,2,58.0,4,1,2,REGULARS
1349,95.5,4,77.52,4,2,3,ACTIVE
1350,339.5,2,19.2,1,1,1,NEW
1351,357.0,2,63.11,1,1,2,REGULARS
1352,667.0,1,24.41,1,1,1,NEW
1353,92.16666666666669,6,235.4,4,4,4,ACTIVE
1354,130.6,5,74.95,3,3,3,REGULARS
1355,128.2,5,92.71,3,3,3,REGULARS
1356,125.0,4,131.44,3,2,4,REGULARS
1357,88.0,3,24.3,4,2,1,ACTIVE
1358,110.0,4,98.4,4,2,3,ACTIVE
1359,580.0,1,46.41,1,1,2,REGULARS
1360,142.4,5,195.21,3,3,4,REGULARS
1361,69.0,7,100.9,4,4,3,ACTIVE
1362,363.0,2,62.71,1,1,2,REGULARS
1363,105.4,5,96.6,4,3,3,ACTIVE
1364,180.5,4,35.4,2,2,1,REGULARS
1365,116.16666666666669,6,62.5,3,4,2,REGULARS
1366,113.16666666666669,6,224.1,3,4,4,REGULARS
1367,349.0,2,70.9,1,1,2,REGULARS
1368,168.0,1,33.9,2,1,1,REGULARS
1369,230.0,3,23.6,1,2,1,REGULARS
1370,159.0,3,71.91,2,2,2,REGULARS
1371,166.66666666666666,3,90.3,2,2,3,REGULARS
1372,201.66666666666663,3,97.31,2,2,3,REGULARS
1373,203.66666666666663,3,153.4,2,2,4,REGULARS
1374,121.25,4,36.8,3,2,1,REGULARS
1375,80.0,1,7.2,4,1,1,REGULARS
1376,212.33333333333331,3,37.58,2,2,1,REGULARS
1377,128.0,3,92.9,3,2,3,REGULARS
1378,192.5,2,52.5,2,1,2,REGULARS
1379,61.0,11,217.85,4,4,4,ACTIVE
1380,123.4,5,101.1,3,3,3,REGULARS
1381,145.6,5,104.75,3,3,3,REGULARS
1382,200.33333333333331,3,43.0,2,2,1,REGULARS
1383,215.33333333333331,3,41.01,2,2,1,REGULARS
1384,100.71428571428572,7,86.6,4,4,3,ACTIVE
1385,134.2,5,164.7,3,3,4,REGULARS
1386,155.66666666666666,3,54.8,2,2,2,REGULARS
1387,319.5,2,47.46,1,1,2,REGULARS
1388,200.33333333333331,3,44.2,2,2,2,REGULARS
1389,203.33333333333331,3,36.31,2,2,1,REGULARS
1390,172.33333333333334,3,99.87,2,2,3,REGULARS
1391,116.5,6,97.4,3,4,3,REGULARS
1392,167.33333333333334,3,85.9,2,2,3,REGULARS
1393,184.33333333333331,3,44.15,2,2,2,REGULARS
1394,159.5,2,56.1,2,1,2,REGULARS
1395,73.625,8,174.64,4,4,4,ACTIVE
1396,196.0,2,106.52,2,1,3,REGULARS
1397,9.0,1,11.8,4,1,1,REGULARS
1398,247.0,2,86.51,1,1,3,REGULARS
1399,173.0,4,80.1,2,2,3,REGULARS
1400,445.0,1,7.8,1,1,1,NEW
1401,168.5,2,13.6,2,1,1,REGULARS
1402,442.0,1,17.8,1,1,1,NEW
1403,179.5,4,68.4,2,2,2,REGULARS
1404,140.6,5,159.51,3,3,4,REGULARS
1405,297.5,2,45.2,1,1,2,REGULARS
1406,141.0,2,102.2,3,1,3,REGULARS
1407,88.83333333333333,6,261.55,4,4,4,ACTIVE
1408,240.0,3,31.9,1,2,1,REGULARS
1409,105.33333333333331,3,37.06,4,2,1,ACTIVE
1410,72.3,10,184.95,4,4,4,ACTIVE
1411,312.0,2,70.32,1,1,2,REGULARS
1412,139.5,4,86.27,3,2,3,REGULARS
1413,178.0,3,63.8,2,2,2,REGULARS
1414,220.0,1,3.4,1,1,1,NEW
1415,362.0,2,10.8,1,1,1,NEW
1416,111.0,6,137.7,4,4,4,ACTIVE
1417,103.2,5,70.1,4,3,2,ACTIVE
1418,185.66666666666663,3,38.7,2,2,1,REGULARS
1419,131.6,5,165.5,3,3,4,REGULARS
1420,161.25,4,82.35,2,2,3,REGULARS
1421,121.75,4,50.12,3,2,2,REGULARS
1422,96.0,7,152.41,4,4,4,ACTIVE
1423,336.0,2,49.46,1,1,2,REGULARS
1424,233.0,3,79.3,1,2,3,REGULARS
1425,173.0,4,44.32,2,2,2,REGULARS
1426,130.0,5,74.04,3,3,2,REGULARS
1427,115.66666666666669,6,92.4,3,4,3,REGULARS
1428,116.2,5,107.14,3,3,3,REGULARS
1429,218.5,2,31.1,1,1,1,NEW
1430,119.5,6,203.6,3,4,4,REGULARS
1431,110.75,4,48.3,4,2,2,ACTIVE
1432,170.0,4,96.1,2,2,3,REGULARS
1433,464.0,1,50.6,1,1,2,REGULARS
1434,214.33333333333331,3,49.5,2,2,2,REGULARS
1435,138.4,5,175.55,3,3,4,REGULARS
1436,304.0,1,13.49,1,1,1,NEW
1437,327.5,2,20.05,1,1,1,NEW
1438,118.33333333333331,6,188.95,3,4,4,REGULARS
1439,139.0,1,16.3,3,1,1,REGULARS
1440,121.33333333333331,6,102.62,3,4,3,REGULARS
1442,111.66666666666669,6,88.1,4,4,3,ACTIVE
1443,179.0,4,93.4,2,2,3,REGULARS
1444,110.5,6,163.32,4,4,4,ACTIVE
1445,235.33333333333331,3,25.8,1,2,1,REGULARS
1446,214.66666666666663,3,63.26,2,2,2,REGULARS
1447,573.0,1,30.01,1,1,1,NEW
1448,271.5,2,39.1,1,1,1,NEW
1449,132.5,4,54.45,3,2,2,REGULARS
1450,115.66666666666669,6,109.4,3,4,3,REGULARS
1451,244.5,2,54.57,1,1,2,REGULARS
1452,96.33333333333331,6,191.05,4,4,4,ACTIVE
1453,328.5,2,34.8,1,1,1,NEW
1454,175.25,4,110.71,2,2,3,REGULARS
1455,287.0,1,20.4,1,1,1,NEW
1456,97.16666666666669,6,168.74,4,4,4,ACTIVE
1457,104.0,6,139.4,4,4,4,ACTIVE
1458,145.33333333333334,3,46.9,3,2,2,REGULARS
1459,165.0,1,32.66,2,1,1,REGULARS
1460,200.66666666666663,3,163.7,2,2,4,REGULARS
1461,170.66666666666666,3,77.3,2,2,3,REGULARS
1462,355.5,2,19.7,1,1,1,NEW
1463,136.0,3,35.1,3,2,1,REGULARS
1464,149.0,2,21.8,3,1,1,REGULARS
1465,100.85714285714286,7,190.97,4,4,4,ACTIVE
1466,77.22222222222223,9,213.4,4,4,4,ACTIVE
1467,121.0,2,73.01,3,1,2,REGULARS
1468,115.5,6,105.24,3,4,3,REGULARS
1469,489.0,1,9.5,1,1,1,NEW
1470,567.0,1,29.71,1,1,1,NEW
1471,258.5,2,16.8,1,1,1,NEW
1472,113.83333333333331,6,112.6,3,4,3,REGULARS
1473,167.75,4,93.9,2,2,3,REGULARS
1474,125.8,5,84.8,3,3,3,REGULARS
1475,166.25,4,106.93,2,2,3,REGULARS
1476,118.83333333333331,6,111.85,3,4,3,REGULARS
1477,109.33333333333331,6,172.9,4,4,4,ACTIVE
1478,158.0,4,71.2,2,2,2,REGULARS
1479,160.25,4,95.29,2,2,3,REGULARS
1480,115.66666666666669,6,114.44,3,4,3,REGULARS
1481,173.5,2,23.8,2,1,1,REGULARS
1482,77.0,6,115.28,4,4,3,ACTIVE
1483,90.75,8,173.63,4,4,4,ACTIVE
1484,103.0,3,143.6,4,2,4,ACTIVE
1485,114.5,2,51.9,3,1,2,REGULARS
1486,65.83333333333333,6,115.9,4,4,4,ACTIVE
1487,315.0,2,34.9,1,1,1,NEW
1488,174.75,4,96.8,2,2,3,REGULARS
1489,144.6,5,60.71,3,3,2,REGULARS
1490,219.0,2,45.5,1,1,2,REGULARS
1491,128.25,5,108.4,3,3,3,REGULARS
1492,121.4,5,98.0,3,3,3,REGULARS
1493,116.83333333333331,6,113.7,3,4,3,REGULARS
1494,114.16666666666669,6,175.74,3,4,4,REGULARS
1495,240.33333333333331,3,62.5,1,2,2,REGULARS
1496,613.0,1,16.8,1,1,1,NEW
1497,145.75,4,123.42,3,2,4,REGULARS
1498,123.5,4,56.1,3,2,2,REGULARS
1499,135.2,5,48.5,3,3,2,REGULARS
1500,106.33333333333331,6,127.52,4,4,4,ACTIVE
1501,146.25,4,122.6,3,2,4,REGULARS
1502,129.0,2,49.3,3,1,2,REGULARS
1503,77.33333333333333,3,94.5,4,2,3,ACTIVE
1504,143.4,5,151.71,3,3,4,REGULARS
1505,78.0,2,100.56,4,1,3,REGULARS
1506,216.5,2,76.0,1,1,3,REGULARS
1507,127.0,5,130.6,3,3,4,REGULARS
1508,153.5,4,35.9,2,2,1,REGULARS
1509,126.0,6,148.4,3,4,4,REGULARS
1510,88.85714285714286,7,174.51,4,4,4,ACTIVE
1511,244.5,2,40.42,1,1,1,NEW
1512,152.5,4,59.21,3,2,2,REGULARS
1513,193.33333333333331,3,115.8,2,2,4,REGULARS
1514,134.4,5,63.54,3,3,2,REGULARS
1515,110.16666666666669,6,93.1,4,4,3,ACTIVE
1516,339.0,2,70.72,1,1,2,REGULARS
1517,120.75,4,56.7,3,2,2,REGULARS
1518,64.0,3,66.46,4,2,2,ACTIVE
1519,428.0,1,13.4,1,1,1,NEW
1520,203.0,3,81.5,2,2,3,REGULARS
1521,237.5,2,86.8,1,1,3,REGULARS
1522,103.14285714285714,7,216.2,4,4,4,ACTIVE
1523,216.66666666666663,3,124.75,1,2,4,REGULARS
1524,173.0,4,59.11,2,2,2,REGULARS
1525,267.5,2,61.1,1,1,2,REGULARS
1526,136.0,5,84.49,3,3,3,REGULARS
1527,175.0,5,65.9,2,3,2,REGULARS
1528,174.25,4,85.51,2,2,3,REGULARS
1529,223.0,3,49.7,1,2,2,REGULARS
1530,240.5,2,40.9,1,1,1,NEW
1531,231.0,2,27.7,1,1,1,NEW
1532,222.5,2,93.3,1,1,3,REGULARS
1533,229.33333333333331,3,60.14,1,2,2,REGULARS
1534,136.5,4,153.32,3,2,4,REGULARS
1535,142.5,4,114.36,3,2,3,REGULARS
1536,172.66666666666666,3,60.41,2,2,2,REGULARS
1537,193.5,2,16.0,2,1,1,REGULARS
1538,188.66666666666663,3,45.56,2,2,2,REGULARS
1539,133.5,2,37.6,3,1,1,REGULARS
1540,99.5,4,130.9,4,2,4,ACTIVE
1542,87.66666666666667,6,136.2,4,4,4,ACTIVE
1544,163.0,4,74.17,2,2,2,REGULARS
1545,212.66666666666663,3,36.8,2,2,1,REGULARS
1546,212.33333333333331,3,51.8,2,2,2,REGULARS
1547,220.33333333333331,3,57.5,1,2,2,REGULARS
