member_number,orderId,order_date,total,productName,items,Days
1910,3389,2015-09-25,23.410596954,tropical fruit,3,35.0
3727,10151,2015-05-19,23.410596954,tropical fruit,3,225.0
2484,5526,2015-08-12,15.607064636,tropical fruit,2,140.0
2195,4459,2015-07-10,15.607064636,tropical fruit,2,173.0
2220,4539,2015-01-07,15.607064636,tropical fruit,2,209.0
1604,2204,2015-11-11,7.803532318,tropical fruit,1,49.0
3581,9602,2015-04-12,15.607064636,tropical fruit,2,147.0
1208,758,2015-12-16,23.410596954,tropical fruit,3,14.0
4328,12453,2015-08-29,7.803532318,tropical fruit,1,123.0
4426,12806,2015-05-18,7.803532318,tropical fruit,1,19.0
2413,5263,2015-10-25,23.410596954,tropical fruit,3,49.0
3590,9648,2015-01-09,15.607064636,tropical fruit,2,49.0
2789,6685,2015-06-01,23.410596954,tropical fruit,3,212.0
4236,12075,2015-10-13,7.803532318,tropical fruit,1,43.0
3594,9671,2015-09-11,15.607064636,tropical fruit,2,110.0
1370,1346,2015-07-05,23.410596954,tropical fruit,3,178.0
4807,14278,2015-04-08,23.410596954,tropical fruit,3,71.0
2475,5493,2015-07-23,7.803532318,tropical fruit,1,110.0
4908,14646,2015-05-20,7.803532318,tropical fruit,1,224.0
3255,8405,2015-11-05,7.803532318,tropical fruit,1,55.0
3877,10728,2015-05-27,7.803532318,tropical fruit,1,113.0
2332,4960,2015-12-15,15.607064636,tropical fruit,2,15.0
2461,5447,2015-10-04,23.410596954,tropical fruit,3,87.0
1452,1646,2015-11-25,15.607064636,tropical fruit,2,35.0
4375,12629,2015-04-29,23.410596954,tropical fruit,3,159.0
3144,7999,2015-04-27,23.410596954,tropical fruit,3,53.0
1136,499,2015-11-03,15.607064636,tropical fruit,2,0.0
1339,1231,2015-05-23,7.803532318,tropical fruit,1,189.0
2903,7086,2015-08-02,7.803532318,tropical fruit,1,6.0
4507,13110,2015-08-15,23.410596954,tropical fruit,3,137.0
3094,7804,2015-10-06,23.410596954,tropical fruit,3,85.0
2784,6659,2015-11-13,23.410596954,tropical fruit,3,47.0
3772,10336,2015-02-18,7.803532318,tropical fruit,1,19.0
4163,11774,2015-03-13,7.803532318,tropical fruit,1,41.0
2775,6624,2015-01-07,15.607064636,tropical fruit,2,211.0
2624,6052,2015-05-21,7.803532318,tropical fruit,1,89.0
4719,13941,2015-09-26,23.410596954,tropical fruit,3,8.0
1723,2636,2015-12-08,15.607064636,tropical fruit,2,22.0
4546,13263,2015-09-03,15.607064636,tropical fruit,2,118.0
1905,3369,2015-07-07,7.803532318,tropical fruit,1,24.0
1061,225,2015-09-05,15.607064636,tropical fruit,2,116.0
4389,12682,2015-10-20,23.410596954,tropical fruit,3,58.0
4073,11408,2015-11-02,15.607064636,tropical fruit,2,58.0
1460,1672,2015-06-24,7.803532318,tropical fruit,1,189.0
2960,7311,2015-12-19,23.410596954,tropical fruit,3,11.0
1822,3043,2015-03-03,15.607064636,tropical fruit,2,302.0
1293,1067,2015-03-05,23.410596954,tropical fruit,3,235.0
3190,8168,2015-03-28,7.803532318,tropical fruit,1,238.0
2782,6652,2015-04-09,23.410596954,tropical fruit,3,61.0
3393,8883,2015-02-15,23.410596954,tropical fruit,3,8.0
4938,14751,2015-11-24,15.607064636,tropical fruit,2,16.0
4156,11751,2015-08-03,23.410596954,tropical fruit,3,149.0
2032,3843,2015-07-28,7.803532318,tropical fruit,1,155.0
2061,3963,2015-12-27,7.803532318,tropical fruit,1,0.0
1081,292,2015-05-03,15.607064636,tropical fruit,2,241.0
2650,6146,2015-05-11,15.607064636,tropical fruit,2,147.0
2448,5400,2015-06-08,7.803532318,tropical fruit,1,0.0
2960,7310,2015-08-31,23.410596954,tropical fruit,3,0.0
1305,1111,2015-05-24,23.410596954,tropical fruit,3,220.0
3744,10220,2015-12-08,7.803532318,tropical fruit,1,22.0
2465,5458,2015-12-27,23.410596954,tropical fruit,3,3.0
2230,4576,2015-05-28,15.607064636,tropical fruit,2,216.0
4251,12124,2015-10-03,7.803532318,tropical fruit,1,79.0
4588,13414,2015-04-30,7.803532318,tropical fruit,1,61.0
4692,13831,2015-10-27,7.803532318,tropical fruit,1,64.0
3417,8973,2015-12-15,7.803532318,tropical fruit,1,15.0
2869,6981,2015-12-10,15.607064636,tropical fruit,2,20.0
3701,10064,2015-01-22,23.410596954,tropical fruit,3,83.0
3399,8906,2015-07-19,7.803532318,tropical fruit,1,164.0
4473,12988,2015-06-26,15.607064636,tropical fruit,2,73.0
1599,2184,2015-05-29,7.803532318,tropical fruit,1,0.0
3551,9492,2015-05-01,15.607064636,tropical fruit,2,84.0
2092,4089,2015-09-04,15.607064636,tropical fruit,2,0.0
2514,5628,2015-11-02,23.410596954,tropical fruit,3,58.0
3581,9601,2015-01-16,23.410596954,tropical fruit,3,0.0
3620,9769,2015-06-18,15.607064636,tropical fruit,2,195.0
4251,12124,2015-10-03,15.607064636,tropical fruit,2,0.0
2997,7443,2015-12-30,15.607064636,tropical fruit,2,0.0
4831,14378,2015-11-13,15.607064636,tropical fruit,2,47.0
4636,13590,2015-04-10,15.607064636,tropical fruit,2,264.0
2872,6993,2015-09-19,23.410596954,tropical fruit,3,102.0
3462,9124,2015-11-15,23.410596954,tropical fruit,3,45.0
1355,1288,2015-02-28,23.410596954,tropical fruit,3,28.0
3113,7877,2015-06-18,7.803532318,tropical fruit,1,195.0
3571,9567,2015-10-21,15.607064636,tropical fruit,2,51.0
4348,12532,2015-04-11,23.410596954,tropical fruit,3,263.0
3180,8124,2015-09-15,7.803532318,tropical fruit,1,0.0
3835,10571,2015-01-06,23.410596954,tropical fruit,3,0.0
3685,10006,2015-03-04,23.410596954,tropical fruit,3,0.0
1395,1441,2015-06-26,7.803532318,tropical fruit,1,60.0
2348,5019,2015-02-28,23.410596954,tropical fruit,3,0.0
1094,334,2015-01-07,15.607064636,tropical fruit,2,0.0
3915,10872,2015-03-05,23.410596954,tropical fruit,3,0.0
2606,5990,2015-01-26,15.607064636,tropical fruit,2,338.0
3321,8643,2015-12-25,7.803532318,tropical fruit,1,5.0
4501,13088,2015-06-15,7.803532318,tropical fruit,1,198.0
2196,4463,2015-08-23,7.803532318,tropical fruit,1,47.0
3879,10741,2015-12-03,15.607064636,tropical fruit,2,0.0
4130,11646,2015-11-06,23.410596954,tropical fruit,3,54.0
1734,2681,2015-06-08,7.803532318,tropical fruit,1,35.0
4909,14648,2015-10-26,15.607064636,tropical fruit,2,65.0
1069,253,2015-08-20,23.410596954,tropical fruit,3,132.0
1489,1793,2015-06-23,15.607064636,tropical fruit,2,190.0
3778,10361,2015-10-01,7.803532318,tropical fruit,1,63.0
2618,6035,2015-09-14,7.803532318,tropical fruit,1,80.0
4356,12559,2015-12-01,23.410596954,tropical fruit,3,29.0
4685,13801,2015-08-27,15.607064636,tropical fruit,2,69.0
1792,2922,2015-08-15,7.803532318,tropical fruit,1,0.0
2393,5185,2015-04-17,7.803532318,tropical fruit,1,257.0
2532,5699,2015-07-06,15.607064636,tropical fruit,2,177.0
2043,3890,2015-04-21,15.607064636,tropical fruit,2,0.0
1534,1961,2015-08-13,23.410596954,tropical fruit,3,139.0
4831,14378,2015-11-13,15.607064636,tropical fruit,2,0.0
1819,3030,2015-11-11,23.410596954,tropical fruit,3,0.0
4760,14100,2015-04-02,23.410596954,tropical fruit,3,272.0
2517,5641,2015-03-22,23.410596954,tropical fruit,3,104.0
1051,186,2015-11-10,7.803532318,tropical fruit,1,0.0
2816,6800,2015-10-01,7.803532318,tropical fruit,1,10.0
4529,13200,2015-01-03,7.803532318,tropical fruit,1,127.0
3489,9241,2015-09-01,15.607064636,tropical fruit,2,78.0
3806,10464,2015-03-15,23.410596954,tropical fruit,3,166.0
2233,4588,2014-04-24,23.410596954,tropical fruit,3,188.0
1447,1626,2014-06-05,23.410596954,tropical fruit,3,573.0
2186,4419,2014-04-12,23.410596954,tropical fruit,3,0.0
3194,8177,2014-07-26,23.410596954,tropical fruit,3,27.0
2337,4971,2014-04-03,7.803532318,tropical fruit,1,194.0
2352,5035,2014-03-27,23.410596954,tropical fruit,3,310.0
1136,495,2014-09-28,15.607064636,tropical fruit,2,0.0
